Columna,Tipo_Dato,Total_Valores,Valores_Nulos,Valores_Unicos,Top_Valor,Media,Minimo,Percentil_25,Mediana,Percentil_75,Maximo,Desviacion_Estandar
CONTRATO,object,424,0,328,41590,,,,,,,
FECHA_PEDIDO,datetime64[ns],424,0,27,2026-02-03 00:00:00,,,,,,,
MOTIVO_PEDIDO,object,424,0,6,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,,,,,,,
PAQUETE_x,object,424,0,16,BASICO TV + INTERNET FIBRA 250MB ($399),,,,,,,
DETALLE_PEDIDO1,object,424,0,120,LOS ROJO,,,,,,,
DETALLE_PEDIDO2,object,424,0,32,nan,,,,,,,
FECHA_CUMPLIMIENTO,datetime64[ns],424,0,31,2026-02-24 00:00:00,,,,,,,
COD_TECNICO,int64,424,0,16,1500039,1624541.158018868,1500036.0,1500039.0,1500047.0,1500307.25,5555555.0,699951.7979472076
ESTATUS_x,object,424,0,4,ACTIVO,,,,,,,
ZONA,object,424,0,14,PEDREGAL,,,,,,,
MODEM(S)_x,object,424,0,320,nan,,,,,,,
ESTATUS_y,object,424,0,4,AC,,,,,,,
PAQUETE_y,object,424,0,15,BASINTF250,,,,,,,
FECHA_INSTALACION,datetime64[ns],194,230,123,2023-02-06 00:00:00,,,,,,,
DIAS_ANTIGUEDAD,float64,194,230,181,-204.0,1626.118556701031,-256.0,310.0,1115.0,3238.75,4433.0,1499.3711916424963
DIAS_ATENCION,int64,424,0,7,1,1.4433962264150944,0.0,1.0,1.0,2.0,6.0,1.1756407733556484
RX_AVG,float64,407,17,316,-31.02834226190481,-25.625597127645133,-40.0,-27.586241970021554,-25.439605061349628,-23.13693342081939,-16.724111498257848,3.7629404828252584
SERIAL_NUMBER,object,424,0,313,485754435002682E,,,,,,,
ONT_MODEL,object,424,0,28,MN-WIFI2,,,,,,,
SOFTWARE_VERSION,object,424,0,21,V1.7.1,,,,,,,
